id,kind,document,where,statistic,printed,source,locator,transform,status,note
OA035,number,appendix_v3.tex,II.4,"of those 2025 advertisements, not already in the 2025 file",100,,,,PENDING,"As above: needs the out-of-range 2026 advertisements matched against the 2025 identifiers, written by l51"
OA036,number,appendix_v3.tex,II.4,out-of-range 2026 advertisements dated July 2026,187,,,,PENDING,"As above; equals 2,844 - 2,657, neither term in an output file"
OA037,number,appendix_v3.tex,II.4,four-digit codes carried by advertisements,400,output/results/occupation_reconciliation.csv,csv:stage=='1_in_postings_file_2020-2025'|n_occupations,,,the file is the 2020-2025 reconciliation; the text says the window to June 2026 carries the same 400
OA038,number,appendix_v3.tex,II.4,codes in the regression sample,369,output/results/occupation_reconciliation.csv,csv:stage=='3_regression_panel_nads_gt0'|n_occupations,,,
OA039,number,appendix_v3.tex,II.4,codes lost at the DAIOE match,31,output/results/occupation_reconciliation_lists.txt,regex:lost_at_DAIOE_match \((\d+)\),,,
OA040,number,appendix_v3.tex,II.4,"military codes, major group 0 (0110, 0210, 0310)",3,,,,PENDING,Counted by hand from occupation_reconciliation_lists.txt; the checker cannot count list entries
OA041,number,appendix_v3.tex,II.4,"managerial codes, major group 1",26,,,,PENDING,Counted by hand from occupation_reconciliation_lists.txt; the checker cannot count list entries
OA042,number,appendix_v3.tex,II.4,"single codes in major groups 3 and 7 (3412, 7133)",2,,,,PENDING,Counted by hand from occupation_reconciliation_lists.txt; the checker cannot count list entries
OA043,number,appendix_v3.tex,II.4,share of advertisements in the 31 unpriced codes,3.7,,,,PENDING,No output file holds it; l02 or l51 would need to write the advertisement share of the 31 unmatched codes
OA044,derived,appendix_v3.tex,"II.5, Table A6","valid-code share, 2021, all sources",99.3,output/results/postings_coverage_monthly_extended.csv,v=csv:year_month>='2021-01' and year_month<='2021-12'|sum:n_valid_code;n=csv:year_month>='2021-01' and year_month<='2021-12'|sum:n_ads,100*v/n,,
OA045,number,appendix_v3.tex,II.5,fewest occupations with an advertisement in a month,374,output/results/coverage_active_occupations_extended.csv,csv:year_month<='2026-06'|min:n_active_occupations,,,
OA046,number,appendix_v3.tex,II.5,most occupations with an advertisement in a month,396,output/results/coverage_active_occupations_extended.csv,csv:year_month<='2026-06'|max:n_active_occupations,,,
OA047,number,appendix_v3.tex,II.5,"average zero-cell share, top quartile (per cent)",one,output/results/coverage_zero_cells_extended.csv,csv:exposure_quartile=='Q4 (highest)' and year_month>='2020-01' and year_month<='2026-06'|mean:zero_share,100*x,,
OA048,number,appendix_v3.tex,II.5,most top-quartile occupations with no advertisement in a 2026 month,two,output/results/coverage_zero_cells_extended.csv,csv:exposure_quartile=='Q4 (highest)' and year_month>='2026-01' and year_month<='2026-06'|max:n_zero,,,
OA049,number,appendix_v3.tex,II.5,top-quartile occupations,91,output/results/coverage_zero_cells_extended.csv,csv:exposure_quartile=='Q4 (highest)' and year_month=='2026-06'|n_occ,,,
OA050,number,appendix_v3.tex,"II.6, Table A7 note",balanced posting panel with zero cells,"28,782",output/results/postings_poisson.csv,csv:spec=='P1_occ_month' and term=='gpt_x_high'|n_obs,,,
OA051,derived,appendix_v3.tex,"II.7, Table A10","move under group x calendar-month effects, rate-hike term",0.003,output/results/postings_seasonality.csv,a=csv:spec=='S1_groupseason' and term=='rb_x_high'|coef;b=csv:spec=='S0_baseline' and term=='rb_x_high'|coef,abs(a-b),,
OA052,derived,appendix_v3.tex,"II.7, Table A10","move under group x calendar-month effects, post-launch term",0.003,output/results/postings_seasonality.csv,a=csv:spec=='S1_groupseason' and term=='gpt_x_high'|coef;b=csv:spec=='S0_baseline' and term=='gpt_x_high'|coef,abs(a-b),,0.0025 rounds half-up to 0.003; the bound in the text is set by the rate-hike term's 0.0033
OA053,number,appendix_v3.tex,"II.8, Fig. A4, Table A7",occupations per decile,37,output/results/posting_es_summary_v3.csv,csv:`Unnamed: 0`=='new_n_occupations'|value,x/10,,
OA054,number,appendix_v3.tex,"III.2, Fig. A5",firm AI-use differential 2023 (pp),20.9,3_register_mona/exports/2026-09-22_2333_s83-partA/occ_rest_firststage.csv,csv:source=='ITFtg_Stora_2023' and route=='occupation' and outcome=='ai_any'|coef_points,,,
OA055,number,appendix_v3.tex,"III.2, Fig. A5",worker genAI-use differential 2024 (pp),22.5,3_register_mona/exports/2026-09-22_2333_s83-partA/occ_rest_firststage.csv,csv:source=='BITA_2024' and route=='occupation'|coef_points,,,
OA056,number,appendix_v3.tex,"III.2, Fig. A5",firm AI-use differential 2019 (pp),18.2,3_register_mona/exports/2026-09-22_2333_s83-partA/occ_rest_firststage.csv,csv:source=='ai_itftg_2019' and route=='occupation' and outcome=='ai_any'|coef_points,,,
OA057,derived,appendix_v3.tex,"III.2, Fig. A5 caption",SE of the 2019-to-2023 difference (independent waves),1.9,3_register_mona/exports/2026-09-22_2333_s83-partA/occ_rest_firststage.csv,a=csv:source=='ai_itftg_2019' and route=='occupation' and outcome=='ai_any'|se_points;b=csv:source=='ITFtg_Stora_2023' and route=='occupation' and outcome=='ai_any'|se_points,sqrt(a*a+b*b),,
OA058,number,appendix_v3.tex,"III.2, Fig. A5 caption",2023 firms,"3,587",3_register_mona/exports/2026-09-22_2333_s83-partA/occ_rest_firststage.csv,csv:source=='ITFtg_Stora_2023' and route=='occupation' and outcome=='ai_any'|n,,,
OA059,number,appendix_v3.tex,"III.2, Fig. A5 caption",2024 worker respondents,"2,285",3_register_mona/exports/2026-09-22_2333_s83-partA/occ_rest_firststage.csv,csv:source=='BITA_2024' and route=='occupation'|n,,,
OA060,number,appendix_v3.tex,"III.2, Table A13",headline step 22-25,-0.040,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_dating.csv,csv:young_band=='22-25' and boundary=='2024-01'|step_coef,,,
OA061,number,appendix_v3.tex,"III.2, Table A13",headline in per cent,3.9,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_dating.csv,csv:young_band=='22-25' and boundary=='2024-01'|step_coef,100*(1-exp(x)),,
OA062,number,appendix_v3.tex,"III.2, Table A13",level after adoption against the reference,-0.042,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_dating.csv,csv:young_band=='22-25' and boundary=='2024-01'|level_vs_reference,,,
OA063,number,appendix_v3.tex,"III.2, Table A13",step from the tightening months (gamma2),-0.058,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_dating.csv,csv:young_band=='22-25' and boundary=='2024-01'|post_coef,,,
OA064,number,appendix_v3.tex,"III.2, Table A14",22-25 ratio ends ... below its pre-hike level,0.042,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_window.csv,csv:young_band=='22-25' and term=='post_x_high_x_young'|coef,abs(x),,
OA065,number,appendix_v3.tex,III.2 boundary,"22-25 step across five boundaries, most negative",-0.041,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_dating.csv,csv:young_band=='22-25'|min:step_coef,,,
OA066,number,appendix_v3.tex,III.2 boundary,"22-25 step across five boundaries, least negative",-0.039,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_dating.csv,csv:young_band=='22-25'|max:step_coef,,,
OA067,number,appendix_v3.tex,III.2 boundary,"26-30 step across five boundaries, most negative",-0.050,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_dating.csv,csv:young_band=='26-30'|min:step_coef,,,
OA068,number,appendix_v3.tex,III.2 boundary,"26-30 step across five boundaries, least negative",-0.040,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_dating.csv,csv:young_band=='26-30'|max:step_coef,,,
OA069,number,appendix_v3.tex,"III.2, Table A18","calendar 2024 vs 2023, 22-25",-0.034,output/tables/tableA_fixed_contrasts.tex,regex:Calendar 2024 against calendar 2023 & \$(-[\d.]+),,,
OA070,number,appendix_v3.tex,"III.2, Table A18",its SE,0.008,output/tables/tableA_fixed_contrasts.tex,regex:Calendar 2024 against calendar 2023 & \$-[\d.]+\^\{\*\}\$ \(([\d.]+)\),,,
OA071,number,appendix_v3.tex,"III.2, Table A18","calendar 2024 vs 2023, 26-30",-0.024,output/tables/tableA_fixed_contrasts.tex,regex:Calendar 2024 against calendar 2023 &[^&]*& \$(-[\d.]+),,,
OA072,number,appendix_v3.tex,"III.2, Table A18",its SE,0.006,output/tables/tableA_fixed_contrasts.tex,regex:Calendar 2024 against calendar 2023 &[^&]*& \$-[\d.]+\^\{\*\}\$ \(([\d.]+)\),,,
OA073,number,appendix_v3.tex,"III.2, Table A18","2024Q1 vs 2023Q4, 22-25",+0.004,output/tables/tableA_fixed_contrasts.tex,regex:either side of the boundary & \$\+([\d.]+),,,
OA074,number,appendix_v3.tex,"III.2, Table A18",its SE,0.009,output/tables/tableA_fixed_contrasts.tex,regex:either side of the boundary & \$\+[\d.]+\$ \(([\d.]+)\),,,
OA075,number,appendix_v3.tex,"III.2, Table A17","horse race 22-25, loading on AI exposure (per SD)",-0.032,3_register_mona/exports/2026-09-20_2148_s61-s63/output_63__horserace.csv,csv:outcome=='stock' and dating=='adoption' and spec=='by_age' and term=='gpt_x_expo_22_25'|coef,,,
OA076,number,appendix_v3.tex,"III.2, Table A17",its SE,0.014,3_register_mona/exports/2026-09-20_2148_s61-s63/output_63__horserace.csv,csv:outcome=='stock' and dating=='adoption' and spec=='by_age' and term=='gpt_x_expo_22_25'|se,,,
OA077,number,appendix_v3.tex,"III.2, Table A17","horse race 22-25, loading on teleworkability (per SD)",+0.027,3_register_mona/exports/2026-09-20_2148_s61-s63/output_63__horserace.csv,csv:outcome=='stock' and dating=='adoption' and spec=='by_age' and term=='t_22_25'|coef,,,
OA078,number,appendix_v3.tex,"III.2, Table A17",its SE,0.012,3_register_mona/exports/2026-09-20_2148_s61-s63/output_63__horserace.csv,csv:outcome=='stock' and dating=='adoption' and spec=='by_age' and term=='t_22_25'|se,,,
OA079,number,appendix_v3.tex,III.2 sexes,"young women, tau",-0.077,output/tables/table1_headline_v3.tex,"regex:Young women, 22--25, relative to older colleagues & \$(-[0-9.]+)\$",,,
OA080,number,appendix_v3.tex,III.2 sexes,its SE,0.011,output/tables/table1_headline_v3.tex,"regex:Young women, 22--25, relative to older colleagues & \$-[0-9.]+\$ & \(([0-9.]+)\)",,,
OA081,number,appendix_v3.tex,III.2 sexes,"young women, tau, per cent",7.4,output/tables/table1_headline_v3.tex,"regex:Young women, 22--25, relative to older colleagues & \$(-[0-9.]+)\$",100*(1-exp(x)),,
OA082,number,appendix_v3.tex,III.2 sexes,"female differential, tau",-0.071,output/tables/table1_headline_v3.tex,regex:Young women minus young men \(\$\\hat\\tau_F - \\hat\\tau_M\$\) & \$(-[0-9.]+)\$,,,
OA083,number,appendix_v3.tex,III.2 sexes,its SE,0.011,output/tables/table1_headline_v3.tex,regex:Young women minus young men \(\$\\hat\\tau_F - \\hat\\tau_M\$\) & \$-[0-9.]+\$ & \(([0-9.]+)\),,,
OA084,number,appendix_v3.tex,III.2 sexes,"female differential, tau, per cent",6.9,output/tables/table1_headline_v3.tex,regex:Young women minus young men \(\$\\hat\\tau_F - \\hat\\tau_M\$\) & \$(-[0-9.]+)\$,100*(1-exp(x)),,
OA085,number,appendix_v3.tex,"III.2, Table A23","share of the differential within tracks, women's weights",85,3_register_mona/exports/2026-09-23_1352_s87/occ_route_gender_split.csv,csv:|ratio_within,100*x,,
OA086,derived,appendix_v3.tex,"III.2, Table A23","share within tracks, men's weights ('three fifths'), in fifths",three,3_register_mona/exports/2026-09-23_1352_s87/occ_route_gender_by_track.csv,w_ict=@3_register_mona/exports/2026-09-23_1352_s87/occ_route_education_mix_by_sex.csv@csv:dimension=='track' and exposed==1 and gender=='men' and cell=='ict'|share;w_engineering=@3_register_mona/exports/2026-09-23_1352_s87/occ_route_education_mix_by_sex.csv@csv:dimension=='track' and exposed==1 and gender=='men' and cell=='engineering'|share;w_business_law_social=@3_register_mona/exports/2026-09-23_1352_s87/occ_route_education_mix_by_sex.csv@csv:dimension=='track' and exposed==1 and gender=='men' and cell=='business_law_social'|share;w_health_education_care=@3_register_mona/exports/2026-09-23_1352_s87/occ_route_education_mix_by_sex.csv@csv:dimension=='track' and exposed==1 and gender=='men' and cell=='health_education_care'|share;w_other=@3_register_mona/exports/2026-09-23_1352_s87/occ_route_education_mix_by_sex.csv@csv:dimension=='track' and exposed==1 and gender=='men' and cell=='other'|share;d_ict=csv:track=='ict'|diff;d_engineering=csv:track=='engineering'|diff;d_business_law_social=csv:track=='business_law_social'|diff;d_health_education_care=csv:track=='health_education_care'|diff;d_other=csv:track=='other'|diff;p=csv:track=='all'|diff,5*((w_ict*d_ict+w_engineering*d_engineering+w_business_law_social*d_business_law_social+w_health_education_care*d_health_education_care+w_other*d_other)/(w_ict+w_engineering+w_business_law_social+w_health_education_care+w_other))/p,,
OA089,derived,appendix_v3.tex,"III.2, Table A19","26-30 drift over 15.5 months, lower",+0.012,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_drift.csv,t=csv:young_band=='26-30' and term=='trend_x_high_x_young'|coef;s=csv:young_band=='26-30' and term=='trend_x_high_x_young'|se,15.5*(t-1.96*s),,
OA090,derived,appendix_v3.tex,"III.2, Table A19","26-30 drift over 15.5 months, upper",+0.038,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_drift.csv,t=csv:young_band=='26-30' and term=='trend_x_high_x_young'|coef;s=csv:young_band=='26-30' and term=='trend_x_high_x_young'|se,15.5*(t+1.96*s),,
OA093,derived,appendix_v3.tex,"III.2, Table A19","22-25 drift over 15.5 months, lower",-0.018,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_drift.csv,t=csv:young_band=='22-25' and term=='trend_x_high_x_young'|coef;s=csv:young_band=='22-25' and term=='trend_x_high_x_young'|se,15.5*(t-1.96*s),,
OA094,derived,appendix_v3.tex,"III.2, Table A19","22-25 drift over 15.5 months, upper",+0.029,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_drift.csv,t=csv:young_band=='22-25' and term=='trend_x_high_x_young'|coef;s=csv:young_band=='22-25' and term=='trend_x_high_x_young'|se,15.5*(t+1.96*s),,
OA095,number,appendix_v3.tex,"III.2, Table A20","share of the 22-25 step retained with industry x age x month, in thirds ('two thirds')",two,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_industry.csv,csv:young_band=='22-25' and spec=='industry_age_month' and term=='post_x_high_x_young'|retained_share,3*x,,
OA096,number,appendix_v3.tex,III.2 payroll,"step from the 2023 level, ages 22-23",-0.026,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_youth_payroll.csv,csv:young_band=='22-23'|step_coef,,,
OA097,number,appendix_v3.tex,III.2 payroll,its SE,0.012,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_youth_payroll.csv,csv:young_band=='22-23'|step_se,,,
OA098,number,appendix_v3.tex,III.2 payroll,"step from the 2023 level, ages 24-25",-0.050,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_youth_payroll.csv,csv:young_band=='24-25'|step_coef,,,
OA099,number,appendix_v3.tex,III.2 payroll,its SE,0.011,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_youth_payroll.csv,csv:young_band=='24-25'|step_se,,,
OA102,number,appendix_v3.tex,"III.3, Table A27",incumbents behind the median employer's score,two,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_reliability.csv,csv:item=='p50_of_employers'|n_incumbents,,,
OA103,number,appendix_v3.tex,"III.3, Table A27",employers with reliability below one half ('two in five'),two,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_reliability.csv,csv:block=='thin'|share_firms,5*x,,
OA104,number,appendix_v3.tex,"III.3, Table A27",their share of incumbent employment (per cent),three,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_reliability.csv,csv:block=='thin'|share_employment,100*x,,
OA105,number,appendix_v3.tex,"III.3, Table A27",split point of the size split (incumbents),four,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_rest_size.csv,csv:young_band=='22-25' and spec=='tercile_3' and term=='post_x_high_x_young'|tercile_low,,,
OA106,number,appendix_v3.tex,III.5,employers in the 22-25 panel,"104,217",3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_headline.csv,csv:young_band=='22-25' and arm=='backward' and floor==5 and level=='uniform3' and term=='post_x_high_x_young'|n_firms,,,
OA107,number,appendix_v3.tex,"III.5, Table A28 (this paper row)","tau at 22-25, per cent (this paper row)",-3.9,3_register_mona/exports/2026-09-24_1024_s91-s92/occ_route_dating.csv,csv:young_band=='22-25' and boundary=='2024-01'|step_coef,-100*(1-exp(x)),,
OA108,derived,appendix_v3.tex,"IV.1, Table A30 Panel C","incumbents carrying a current code, 2020-2023 pooled (per cent)",99,3_register_mona/exports/2026-09-18_1640_s40-s47/entrant_split_coverage.csv,c=csv:year>=2020 and year<=2023 and group=='incumbent'|sum:n_coded;n=csv:year>=2020 and year<=2023 and group=='incumbent'|sum:n_pairs,100*c/n,,
OA109,derived,appendix_v3.tex,"IV.1, Table A30 Panel C","entrants carrying a current code, 2020-2023 pooled (per cent)",93,3_register_mona/exports/2026-09-18_1640_s40-s47/entrant_split_coverage.csv,c=csv:year>=2020 and year<=2023 and group=='entrant'|sum:n_coded;n=csv:year>=2020 and year<=2023 and group=='entrant'|sum:n_pairs,100*c/n,,
OA110,number,appendix_v3.tex,"IV.2, Table A31","2025H1 coefficient, 2022-vintage column",-1.32,3_register_mona/exports/2026-09-20_1735_s39-s41/output_41__vintage_es.csv,csv:period=='2025H1' and variant=='V2022_22-25'|coef,,,
OA111,number,appendix_v3.tex,"IV.3, Table A32","submitted design's step at 22-25, reproduced",-0.17,3_register_mona/exports/2026-09-20_1735_s39-s41/output_39__canary_gate_results.csv,csv:estimator=='Poisson'|gamma2,,,
OA112,number,appendix_v3.tex,IV.3,change in the step when scored from codes dated 2019 alone,0.005,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_vintage.csv,csv:block=='artefact'|value,abs(x),,
OA113,number,appendix_v3.tex,IV.3,employers keeping their quartile,97.8,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_vintage.csv,csv:block=='stability' and item=='share_keeping_quartile'|value,100*x,,
OA114,number,appendix_v3.tex,"IV.4, Table A34",2019 file alone codes 'over nine incumbents in ten',nine,3_register_mona/exports/2026-09-22_2232_s82-partA/occ_route_coverage.csv,csv:panel=='cascade' and group=='2019' and item=='incumbents_resolved'|share,10*x,,
OA115,derived,appendix_v3.tex,"IV.4, Table A34",carry-back adds a further two points,two,3_register_mona/exports/2026-09-22_2232_s82-partA/occ_route_coverage.csv,a=csv:panel=='cascade' and group=='2018' and item=='incumbents_resolved'|share;b=csv:panel=='cascade' and group=='2017' and item=='incumbents_resolved'|share;c=csv:panel=='cascade' and group=='2016' and item=='incumbents_resolved'|share;d=csv:panel=='cascade' and group=='2015' and item=='incumbents_resolved'|share,100*(a+b+c+d),,
OA116,number,appendix_v3.tex,IV.4,codes observed in 2019 ('seven in ten'),seven,3_register_mona/exports/2026-09-22_2232_s82-partA/occ_route_coverage.csv,csv:panel=='baseline 2019' and block=='ssyk_ar' and group=='2019'|share,10*x,,
OA117,number,appendix_v3.tex,IV.4,codes observed in 2018 ('one in twelve'),twelve,3_register_mona/exports/2026-09-22_2232_s82-partA/occ_route_coverage.csv,csv:panel=='baseline 2019' and block=='ssyk_ar' and group=='2018'|share,1/x,,
OA118,derived,appendix_v3.tex,IV.4,step moves by less than 0.001 across the three scoring arms,0.001,3_register_mona/exports/2026-09-23_0655_s82-partB_s83-partsBCD/occ_route_headline.csv,u=csv:young_band=='22-25' and arm=='backward' and floor==5 and level=='uniform3' and term=='post_x_high_x_young'|coef;f=csv:young_band=='22-25' and arm=='backward' and floor==5 and level=='four_only' and term=='post_x_high_x_young'|coef,abs(u-f),,an upper bound in the text: the largest gap among the three arms is 0.00087 (uniform3 against four_only)
OA119,number,appendix_v3.tex,V.1,advertisements carrying an organisation number (per cent),99,output/results/firm_within_meta.txt,regex:\((\d+\.\d)-,,,
OA120,number,appendix_v3.tex,"V.1, Table A36",identifying employers,"12,141",output/results/firm_within_did.csv,csv:variant=='a_all_firms' and term=='gpt_x_high'|n_firms,,,
OA121,number,appendix_v3.tex,"V.1, Table A36","employers, entry-level variant","1,265",output/results/firm_within_did.csv,csv:variant=='c_entry_level_ads' and term=='gpt_x_high'|n_firms,,,
OA122,number,appendix_v3.tex,"V.1, Table A35 note",entry-level share of distinct advertisements,2.8,output/results/firm_within_entry_audit.csv,csv:dimension=='all'|share_entry,100*x,,
OA123,number,appendix_v3.tex,"V.2, Table A36","post-ChatGPT interaction, all employers",-0.158,output/results/firm_within_did.csv,csv:variant=='a_all_firms' and term=='gpt_x_high'|coef,,,
OA124,number,appendix_v3.tex,"V.2, Table A36","the same, per cent",15,output/results/firm_within_did.csv,csv:variant=='a_all_firms' and term=='gpt_x_high'|coef,100*(1-exp(x)),,
OA125,number,appendix_v3.tex,"V.2, Table A36",without staffing agencies and public employers,-0.180,output/results/firm_within_did.csv,csv:variant=='b_excl_staffing_public' and term=='gpt_x_high'|coef,,,
OA126,number,appendix_v3.tex,"V.2, Table A35",eligibility before the hike,-0.156,output/results/firm_within_did_variants.csv,csv:variant=='d1_pre_eligible_all_quartiles' and term=='gpt_x_high'|coef,,,
OA127,number,appendix_v3.tex,"V.2, Table A35",entry-level advertisements,-0.196,output/results/firm_within_did_variants.csv,csv:variant=='f_entry_ads_common_sample' and term=='gpt_x_high'|coef,,,
OA128,number,appendix_v3.tex,"V.2, Table A35","all advertisements, same employers",-0.160,output/results/firm_within_did_variants.csv,csv:variant=='f_all_ads_common_sample' and term=='gpt_x_high'|coef,,,
OA129,number,appendix_v3.tex,"V.2, Table A35",entry-level differential in one panel,-0.044,output/results/firm_within_did_variants.csv,csv:variant=='g_entry_triple' and term=='gpt_x_high_x_entry'|coef,,,
OA130,number,appendix_v3.tex,"V.2, Table A35",its SE,0.066,output/results/firm_within_did_variants.csv,csv:variant=='g_entry_triple' and term=='gpt_x_high_x_entry'|se,,,
OA131,number,appendix_v3.tex,"V.2, Table A35 note","entry-level share, lowest year",2.4,output/results/firm_within_entry_audit.csv,csv:dimension=='year'|min:share_entry,100*x,,
OA132,number,appendix_v3.tex,"V.2, Table A35 note","entry-level share, highest year",3.4,output/results/firm_within_entry_audit.csv,csv:dimension=='year'|max:share_entry,100*x,,
OA133,number,appendix_v3.tex,"V.2, Table A35 note","entry-level share, exposure quartile 1",0.9,output/results/firm_within_entry_audit.csv,csv:dimension=='exposure_quartile' and level=='1'|share_entry,100*x,,
OA134,number,appendix_v3.tex,"V.2, Table A35 note","entry-level share, exposure quartile 2",2.2,output/results/firm_within_entry_audit.csv,csv:dimension=='exposure_quartile' and level=='2'|share_entry,100*x,,
OA135,number,appendix_v3.tex,"V.2, Table A35 note","entry-level share, exposure quartile 3",3.2,output/results/firm_within_entry_audit.csv,csv:dimension=='exposure_quartile' and level=='3'|share_entry,100*x,,
OA136,number,appendix_v3.tex,"V.2, Table A35 note","entry-level share, exposure quartile 4",4.0,output/results/firm_within_entry_audit.csv,csv:dimension=='exposure_quartile' and level=='4'|share_entry,100*x,,
OA137,number,appendix_v3.tex,VI.1,"person-months at a scored employer, 2019",97.7,3_register_mona/exports/2026-09-24_1037_s93/93_summary.txt,regex:C: 2019: ([\d.]+)% of person-months,,,
OA138,number,appendix_v3.tex,VI.1,"person-months at a scored employer, 2025",91.7,3_register_mona/exports/2026-09-24_1037_s93/93_summary.txt,regex:C: 2025: ([\d.]+)% of person-months,,,
OA139,number,appendix_v3.tex,"VI.1, Table A40","uncounted payslips, about ... per cent",0.2,3_register_mona/exports/2026-09-24_1037_s93/uncounted_share.csv,csv:quartile_group=='all' and year>=2024|mean:share_no_register,100*x,,
OA140,number,appendix_v3.tex,"VI.1, Table A40",mean uncounted share 2019-2023,0.279,3_register_mona/exports/2026-09-24_1037_s93/uncounted_share.csv,csv:quartile_group=='all' and year<=2023|mean:share_no_register,100*x,,
OA141,number,appendix_v3.tex,"VI.1, Table A40",mean uncounted share 2024-2025,0.203,3_register_mona/exports/2026-09-24_1037_s93/uncounted_share.csv,csv:quartile_group=='all' and year>=2024|mean:share_no_register,100*x,,
OA142,number,appendix_v3.tex,"VI.1, Table A40",top-quartile gap 2020-2022 (pp),0.051,3_register_mona/exports/2026-09-24_1037_s93/93_summary.txt,regex:mean gap 2020-2022 \+([\d.]+) pp,,,
OA143,number,appendix_v3.tex,"VI.1, Table A40",top-quartile gap 2024-2025 (pp),0.042,3_register_mona/exports/2026-09-24_1037_s93/93_summary.txt,regex:2024-2025 \+([\d.]+) pp,,,
OA144,number,appendix_v3.tex,"VI.1, Table A40",narrowing of the gap (pp),0.009,3_register_mona/exports/2026-09-24_1037_s93/93_summary.txt,regex:movement (-[\d.]+) pp,abs(x),,
OA150,derived,appendix_v3.tex,VI.1,"persons coded under the carry-forward cascade, ages 22-69, 2019",99.2,3_register_mona/exports/2026-09-18_1716_s49/match_rate_definitions.csv,m0=csv:year==2019 and age_group=='22-25'|m2_cascade;n0=csv:year==2019 and age_group=='22-25'|n_employed;m1=csv:year==2019 and age_group=='26-30'|m2_cascade;n1=csv:year==2019 and age_group=='26-30'|n_employed;m2=csv:year==2019 and age_group=='31-34'|m2_cascade;n2=csv:year==2019 and age_group=='31-34'|n_employed;m3=csv:year==2019 and age_group=='35-40'|m2_cascade;n3=csv:year==2019 and age_group=='35-40'|n_employed;m4=csv:year==2019 and age_group=='41-49'|m2_cascade;n4=csv:year==2019 and age_group=='41-49'|n_employed;m5=csv:year==2019 and age_group=='50+'|m2_cascade;n5=csv:year==2019 and age_group=='50+'|n_employed,100*(m0*n0+m1*n1+m2*n2+m3*n3+m4*n4+m5*n5)/(n0+n1+n2+n3+n4+n5),,
OA151,derived,appendix_v3.tex,VI.1,"persons coded under the carry-forward cascade, ages 22-69, 2023",99.9,3_register_mona/exports/2026-09-18_1716_s49/match_rate_definitions.csv,m0=csv:year==2023 and age_group=='22-25'|m2_cascade;n0=csv:year==2023 and age_group=='22-25'|n_employed;m1=csv:year==2023 and age_group=='26-30'|m2_cascade;n1=csv:year==2023 and age_group=='26-30'|n_employed;m2=csv:year==2023 and age_group=='31-34'|m2_cascade;n2=csv:year==2023 and age_group=='31-34'|n_employed;m3=csv:year==2023 and age_group=='35-40'|m2_cascade;n3=csv:year==2023 and age_group=='35-40'|n_employed;m4=csv:year==2023 and age_group=='41-49'|m2_cascade;n4=csv:year==2023 and age_group=='41-49'|n_employed;m5=csv:year==2023 and age_group=='50+'|m2_cascade;n5=csv:year==2023 and age_group=='50+'|n_employed,100*(m0*n0+m1*n1+m2*n2+m3*n3+m4*n4+m5*n5)/(n0+n1+n2+n3+n4+n5),,
